,comments
43,"Opinions on the withdraw aside; the enemy we have been facing, is now developing a conventional strategy to engage US. The unconventional methods of war work, but they do not destroy the opposition. Gorilla tactics, and the idea of moving amongst civilian populations to engage, and attack, accomplish a very specific set of goals; it does not hold territory, and it does not take territory. Our enemies are observing their inability to advance, and gain ground; now they are adapting a model of engagement that will allow them to strengthen their conventional capabilities. Iran is a great example of country that is maintaining a conventional force, while supporting proxy's to engage US, and Allies. The Taliban, have proven over the last 20 years that they will support, and will directly engage our forces. The Taliban are adopting a strategy that will allow them to control Afghanistan as a recognized State, while still continuing to support militant actions against US."
44,God bless you and your family Mr. President
45,"Retired Special Operators, Volunteers I might add, are a huge reason that thousands are sleeping at peace tonight. Thank you to the volunteer commandos! You went against this idiotic government's approval and saved lives. We love you for it!"
46,Bless President Biden for ending our longest war ever!
47,"""Hey man, i gave the Apache Helicopters, Guns, and Uniforms so they can make Terrorism great again!"" ~ (Can't finish a term) Biden."
48,"this was an exquisite, Presidential speech. every time I started to think of a question, he would answer it in the next sentence. i really believe it when he says it's the honest truth that we don't have a real reason to be in Afghanistan anymore. the terrorists just want the USA's attention, dollars, and lives. i hope we can establish a way to help innocent refugees in Afghanistan, without playing into another war. we have technology to fight remotely, we have solar, electric, we don't need oil... we are the richest country in the world, and it's time we use our money towards bettering it for real. I try to take it all with a grain of salt, but this was overall excellent public speaking and very authentic"
49,"You told the military to flee in the middle of the night, without telling our allies or warn 100's of thousands civilians and had to go back with triple the number of troops, after telling the Taliban that you declined their offer to control Kabul and the Taliban can manage the entrances into the airport. Then you get 122000 people and only 5400 citizens and call that a success. You give the Taliban a list of names, pictures and biometrics  of everyone and  leave defenseless possibly 1000's of American citizens and afghans that have worked with the Americans."
50,"""It's everyone else's fault but mine.""
-the president with the most votes in history"
51,Love to USA from India 🇮🇳❤️
52,Obama: Don't ever underestimate Biden's ability to f*** things up. His own vice president for 8 years says a lot.
53,I don’t think he’s all there and yet he has access to nukes….. welcome to America 🇺🇸
54,"Thank you President Biden for all you have done, you are doing a fine job and we are behind you 100%! Without you, we would have nothing! May Allah bless you and we will see you real soon when we come for a visit.
Signed, Hibaullah Akhundzada"
55,"'Don't underestimate Joe's ability to (expletive) things up'  - President Obama

All you need to know about Joe's ability to fulfil a promise."
56,God bless Biden
57,"I love the tittle. ""Ending the war in Afghanistan"".  It should have read  ""We pulled out yet, the war rages on!"""
58,"When the impact of this disaster is finally realized, he will likely have started more of a war than he ended."
59,"If his wife or Hunter is still in Afghanistan,  he would not leave them behind."
60,How to fumble the football only to give it back to the opposing team... you made history Joe.
61,"Let's go, Brandon!!!!"
62,"Imagine if you're boss at work when he spoke to the people... he needed a prompter. Would that not be odd to you? But since it's TV,  everyone soaks up the usual."
63,"10:05 LOL Wow Joe, now look at them. They own the whole country, and billions in our infrastructure, munitions, and vehicles. Good job man!"
64,Glory be to God Jehovah and in the name of his son Jesus thank you Lord for ending the war the wall Thank you president trump for starting the process thank you president biding For carrying through the process and ending the war may God protect bless our troops and their family I see was hurt and harm and home and my family so I understand stand the need for them to come home God-bless peace out
65,"In Beijing  they are arguing over which is easier, getting your restaurant order correctly filled or having a POTUS fulfill every possible whim on your wish list."
66,I just love how there’s no positive comments lol. Goes to show how much of a joke everyone as a whole knows  he had no business in office.
67,He reminds me intensely how much I dislike establishment politicians
68,God bless this is history made!!!!! Since I was 11 years old I am now 31 years old! Hallelujah thewar is over!!! Bring the troops over!!!!
69,Good job PRESIDENT 👏  End All Wars!!!
70,Joe “ I ain’t taking no questions” Biden.
71,Poor leadership it breaks my heart
72,Thank you Trump and Biden for leading the way to finally end this war...so sad to see so many Americans wanting more solders to die in the comments from these wars
73,"As a Vietnam Medic in the war, it not fun, it’s real.  People soldiers die, I was there and for what. We need to use our troops correctily.  Sorry for all the Vets that are committing suicide.  I feel your pain in a different way.  Every Veteran’s day, I shed a tear and I see faces of the patients that have died.  No American should see this and that’s the problems.  We have outspoken politicians that were never at war.  Unless you served in the arm forces, you need to listen to those that have.  Again sorry for those that have loss their lives and sorry for those that continue to suffer.   I get it.   I wish those servicemen to seek help and try to deal with the pain."
74,Well done on your effort’s
75,My future husband is a military man and he has been in Syria and God bless him he has seen alot thought the years and he prays for all of his service men and women for this country
76,"there is just no way on earth that I would ever....not ever. Joe, Oh Joe...good luck"
77,RIP to those US  soldiers who died in Afghanistan. 🇺🇸
78,Enjoy the Show!!!
79,Let's go Brandon!!!
80,"well this speech here was a very long and roundabout way of saying ""i actually don't really know what i'm doing"""
81,"""As for the Afghans, we and our partners have airlifted over one hundred thousand of them,"" and only dropped a couple dozen of them."
82,Anything good is my credit and any mistake made is not mine but others... great job.
83,Just when you think it can't get worse Biden says Hold my ice cream.
84,What do they say about “assumptions” Joe? That good ol’e saying is still holding true. 🍻
85,"My poor country, the innocent women of my homeland.😔🇦🇫💔"
86,Greatest president in my life time” - 6 month old immigrant first time voter baby
87,There’s more to it. There always is
88,My grandfather always told me to read between the lines and listen to what they're NOT saying. This colossal jerk is not saying a lot. He's a master of c.y.a.
89,"""Look at what a good job we did cleaning up an unnecessary clusterfuck that we caused"""
90,It is hard to imagine a more stupid or more dangerous way of making decisions than by putting those decisions in the hands of people who pay no price for being wrong.
91,Assisting your allies also seems important for the national interest I reckon...
92,Listening to this man makes my head hurt.
93,GOOD SPEECH. You people who think we should have stayed are insane. The weapons the Taliban absconded are from the defeated Afghan army.
94,When the media realized that trump kept their jobs
95,"I'm all for ending the war and leaving. But to leave them all military vehicles, weapons, and forts, is what's insane."
96,How did he honestly win the election?  OMG........shaking my  head........omg.
97,#Make America Great Again🇺🇲
98,"Gee Joe,  ever stop and think those that wanted to stay had listened when you said taliban won't take over.  THAT is why they chose to stay"
99,"Let's go, Brandon!"
100,20:46 yes... yes we do for sure have to learn from our mistakes you are right about that one.. and we learned very quickly what kind of mistake was made.... we are watching it right now...
101,Great speech. I applaud this action
102,"This guy really living in his own fantasy world, but not in our world."
103,Let's go Brandon!
104,"Why do I feel like for the first time in my life that we do not have a president. 
A president is supposed to be a leader and act like a leader, you’re supposed to be the blood of this country while it’s people are the hearts which pump it.
A president is meant to lead and look out for the good of the American people. We just left behind hundreds of Americans in Afghanistan. We believe in leaving no man behind yet, we’ve just left hundreds of our own behind to fend for themselves. I legitimately do not recognize my country for the first time in my life."
105,Thanks to him and his administration our country is now being laughed at by the entire world
106,"Stop criticizing and just learn. Respect the USA despite their mistakes, as they are the first line of defence against authoritarian regimes. Mark my words"
107,"Pretty sure you were VP for EIGHT YEARS AND IN CONGRESS FOR 40+YEARS and did Z E R O, but hey, at least your consistent 👍👍👍 WAY TO GO QUID PRO QUOE JOE, WAY TO GO👍👍👍"
108,A good deadline is always worth putting peoples lives in danger
109,"""No other nation in history had the capacity to perform such a big airlift"". Ok so you're just gonna ignore India's airlift from Kuwait in 1990?"
110,This is what happens when you let corporate media tell you who ought to be the President.
111,#45 Forever! A True Leader! 🇺🇲⚔️   Hey Biden 🖕
112,Good news. Good decision.👏👏🙏🙏 With fight nothing going to gain only to loss number of number American military's.
113,"Couldn't have been a war in the first place, they had enough people to take over that fast we obviously weren't doing any fighting."
114,"I love when a real good President speaks to the people , and I under any circumstance have been brainwashed , I’m not a trump supporter , l ain’t mad"
115,odd how I don't have to read the comments to know how everyone feels...
116,“Let’s go Brandon!!!”
117,Love your freedom people.
118,"Okay, now lets talk about ENDING PANDEMIC UNEMPLOYMENT in the middle of an outbreak for small businesses, gig workers, independent contractors and self employed.....I'm sure the Afghans will get more help than unemployed Americans."
119,The next election day is in 3 years and will be my first time voting. I can tell you one thing I'm not voting for this guy.
120,"""I take full responsibility""
Also: ""well the previous administration.."""
121,So true Mr.President
122,God Help US !!
123,was this a speech that signified that America has won the decades' long war? it seemed to me that Biden delivered the speech with sadness ...
124,Let's go Brandon :)
125,"September 11, 2001 we will never forget...20 years ago...We Will Never Forget!!!!"
126,"Let's go Brandon!

Heyyyy Joe, where you going with our guns in your hands?"
127,When in doubt always blame the last administration
128,"Imagine leaving Americans behind in a country where extremists now fly US military helicopters and drive US military vehicles, losing 13 soldiers in the process, destabilizing the reason and dramatically shifting the national security position of the United States… and then patting yourself on the back."
129,Joe you have put this contry in the worts shape in last 30 years
130,"At the very beginning of this, I thought it was Biden walking out of frame🤣🤣"
131,I seriously hate how he does not take questions from the press.  You gotta answer the people you serve dude.
132,Very good decision no more war
133,The Biden regime! 🇮🇶🇨🇳
134,I was hoping he did the Willy Wonka introduction while walking in!
135,From the Sacramento Bee newspaper- At least 24 students are still stranded in Afghanistan. This should outage the public and disgrace this administration.
136,"My god, everyone.  The war in Afghan was lost years ago.  For years, maybe for even over a decade, the war has been lost.  We just kept funneling money into it and lives and suffering.  It needed to end.  It was never going to end with shining lights and kindness.  "
137,From his speech it seems like he already know and agreement with taliban to take over Afghanistan. He is not worried about Taliban...
138,"WTF Is this some bad joke?

""Make America ashamed again"""
139,YouTube wants to remove the dislike button because Geriatric Joe gets radio’d in every video. 🤣
140,Biden: I take responsibility but Trump and the Afghans are responsible.
141,GOOD RESPONSE 👍!!!
142,"Ah yes. We left military equipment in Afghanistan and watched their government fall to the Taliban.

Sweet victory."
143,"I have a sickening, gut feeling that a terrible inevitable is coming our way. This guy and all his yes men will have not only brought it here but provided the means to do so. I certainly pray I'm wrong."
144,"Its all Trumps fault he says, but yet gives long explanation on how he always wanted to end the war. 🥱"
145,"30 years ago, The Airlift from Kuwait, 1990
~170,000 rescued
Air India operated 488 flights between August and October 20 to airlift an estimated 170,000 Indians stranded in Kuwait after Iraqi’s invasion. At least one country has already done it, Joey. Get your facts right!"
146,"Of course, it’s always someone else fault with this guy."
147,"Our brilliant president is ""looking into the future""! (27:53)."
148,"Handlers: Use your authoritative voice. 
Biden: The yelly one?"
149,Starts at 2:01
150,"I look at my President for Unity, Fairness, and Strong Will, this Veteran leaves this video feeling betrayed, embarrassed, angry and carrying a bag of excuses and hallow words. I pray for those we left behind and that we can get those people out and attempt to reverse this unadulterated betrayal and historical blunder that we have witnessed. Yes you take the responsibility for this yet give a litany of excuses and finger pointing, Mr. President its time for you to own this and do something other than passing the buck."
151,I kno y’all see him reading off something in the background or is it just me😭 cuz I kno he memorize all that and I kno he ain’t saying all this off the top of his head
152,If it’s over then why are people still complaining about it this video needs more views
153,His covid test came back negative 7 times 😡 my message to the people who punished him for this throw your towel in you will not win
154,No nation would leave our allies behind. Lest go Brandon. Desantis 2024
155,It's mind blowing how he can even attempt to try to make a victory speech of any sort. This will be in  the history books forever for heads to shake
156,Very good
157,Just say the truth Biden! We lost the war!
158,"""I respect our troops so much, that is why I was so bored and checked my watch 13 times"""
159,Amen
160,The best teleprompter-reader President ever!!! (But does he know what he reads?).
161,For those that voted for this career politician. I hope next time you vote its not based on your hatred
162,"A reminder this is not a movie clip, he is not Clint Eastwood. 
Although he hammers the point about ending the war, which NO ONE disagrees with, he is brushing over the incompetence we have all witnessed.
You are watching a man reliving fantasies, declining into dementia as we watch."
163,No outsider till now has been and no outsider in future will be able to rule Afghanistan.
164,This reminds me of the Iraqi press conference when the Iraqi press secretary said there were no Americans in Iraq and yet you could see the city being bombed.  This is so bad.  Did ANYONE actually vote for this guy?
165,"That is, by far, the strangest address I’ve ever seen a President give."
166,Your Frist words should be condolences to the families of marines that lost there life💕 going back to Clean up your mess 🖕🏴‍☠️
167,"Why can't he just say, ""We messed up!"""
168,"To save this country and those lost faith in America, please resign, Joe Biden!"
169,"We definitely had no choice but doing this in the way this administration did it. Actually, it was supposed to be more chaotic but this administration and this President did it smoothly. May God Bless the United States of America, the memories of those who died in this crazy war, and our President Biden !"
170,"The ""mission accomplish speech."" only Bush just sort of stopped talking about it.  He didn't pull the troops, minus all the military hardware....or leave our allies to die...or hand out a named list of everyone that was stupid enough to help us to the taliban, a peace protest against our help."
171,Never underestimate Joe’s ability to f**k things up ~ Barack Obama
172,"It's gonna be a long 3.5 years, ladies and gentlemen."
173,He is scolding the stranded !  How many of the 19 warnings before his statement of nothing similar to Saigon would happen.
174,It’s high time we brought our troops home. We already won the war against Al-Qaeda years ago.
175,I feel like we should've gotten rid of the supplies that was left by exploding the facilities and taking what we could back to America besides leaving it all there and having the Taliban have more  equipment.
176,"10k thumbs down, 4.2k thumbs up... and you expect me to belive he won the election fair and square?"
177,Bravely? Guy makes up his own words and his own success
178,I take responsibility for those decisions but it's mostly trump's fault
179,"Thank God Our Troops r getting out of a place they really should have never been. There's no way to change what's going on in that place , I wish it was but there's not. I wish so many had not died in that wretched place."
180,It’s time for Joe to accept responsibility for the train wreck in Afghanistan - you have blood on your hands - RESIGN!!!!
181,"Your hand gestures and attempted ""tough guy"" voice make you look even more putz-like. It's past your nap time."
182,Let’s go Brandon!!
183,"Beginning, I thought he was asleep and forgot that he had speech to give."
184,👍🏻👍🏻👍🏻👍🏻
185,Ever heard of the pineapple express? They'll get every US citizen that's still alive. There are high school kids that were left. This guy should be court marshalled.
186,"His consciousness already left long time ago, what you’re seeing is a just a physical hologram"
187,The war was over. We were there for support
188,"I didn’t vote for Biden last time but 
I’ll be voting for Biden this time
Biden2024"
189,"As a Libertarian I agree with the move,

I just can’t feel that the execution was poor; it would have never been a good withdrawal "
190,"C’mon man, you know the things!"
191,I’m with you Joe. You saved a lot of lives. Brought in positive change to our countries identity.
192,I'm Joe Biden and I approved this MESSage!
193,"Old sleepy uncle Joe 

Bless him, no really a true leader is he 😔"
194,Yup this is real USA voted for this guy.
195,"China never announce their military plans, so why did the US do that and expose themselves?  Because of that, resources and innocent lives were lost.  Salute to the service folks, always."
196,Jimmy carter is now on second position.....Joe on top now
197,"Ex Gen Dan McNeill stated when asked if Afghan war was worth it?  Going onto say he hoped one day to have an answer.   Mine is if after all the errors it finally produced a President/leader of quality it would have been worth it.   I planned the Bin Laden Raid in the knowledge the result had to be conclusive and gain outright support..... Time we generate a forward moving country..... One which is listened too and trusted by the world, we owe our kids peace ..... Right now we are not trusted by almost anyone"
198,Unfortunately those that want to get out probably have no capability of communicating that plea.  They are hostages soon to be on display for public execution.   Thanks Joe
199,How do you know when the POTUS is lying?
200,"Joe, Bring them home!!"
201,He makes me feel happy for Jimmy Carter.  He finally gets to see the day when where his legacy is no longer the worst president in US history
202,"What an embarrassment...America the world is shocked at what you've done!! As for sky news Australia they really can not stand Biden and Harris, i was watching it earlier!! The first 2 minutes were his most successful bit of this video.."
203,10% left behind. For the Big Guy!
204,Checking my watch the whole time because I have to leave and talking about my son who didn't see a day in combat and died at home he sent those kids to their death
205,"You can replace Biden's speech with a sound bite from Counter strike saying ""Terrorists win!"" and it would be shorter and more accurate."
206,"Too many narrow minds out there. ""It doesn't matter how you get there because the end result is the only thing that matters"""
207,"CNBC always forces the word ""President"" in their vid title because they know that the world doesn't recognise this senile old man as ""President"". We miss Trump terribly!"
208,Anyone want to see the conversation joe Biden had with the former president of Afghanistan???
209,Biden...making Obummer look better every day
210,This man could wrap his won present and still be surprised on Christmas! He voted for this war and voted against withdrawal over the last 19 yrs until last year.
211,"""I did such a great job, folks, I'm awarding myself The Medal of Honor, Valor and Purple Heart...I'm a hero!"" - Joe Biden"
212,"So the ones that stay they can be attacked, I'm just trying to understand what he's reading"
213,When somebody ask the president to take out the troop and end the war doesn't mean leave the important things behind.
214,How can we (your allies) trust you after this? Zero communication zero organisation. We had our own troops there but we didn't leave our choppers and weapons there. And now we had to send our own rescue mission to get out our guys who were stranded. It is embarrasing for USA
215,"the ""war"" ended but not only did we not win we lost even more just trying to leave. This by no means is a success this is an absolute failure in the goal of just trying to save people and our own."
216,It’s like saying I’ve completed school by dropping out in the 5th grade. It may be true but it doesn’t make it smart.
217,"Here we see a wrinkled and stiff 6 year old read an excuse note, written by his mom, to try and justify getting out of PE. It’s sad to see him failing so grotesquely at the job he is meant to do and blow boat loads of smoke up his ass to make the wound to heal quicker. I don’t know what he thinks of us, but I damn well know when I hear BS and it is flowing from him like a river!"
218,I just feel that it could have been done better
219,"""The decisions I MAKE, are NOT my fault"". 🖕😂👌"
220,I love how he’s trying to talk with authority… As he squints his eyes at the Teleprompter
221,I’m glad we’re out of Afghanistan but I wish it were more planned out on the exit.
222,90 out of 80 people wanted to stay........Joe Biden
223,Biden: we did again. Proud to be American.
224,Let's go Brandon
225,"""Some say 'couldn't this have been done in a more orderly manner?' I respectfully disagree!"" - Yikes!!!"
226,Thank you for having the Balls to get out of bad relationship that was ruining us. Thank you sir!
227,"This is like getting an A for effort, but failed two times on execution. You messed up, Joe! But good job…."
228,"Minute 12:30 We airlifted out (only) 5,500 Americans (but we were able to get out) 100,000 Afghans."
229,Thank you Biden for speaking like a president not name calling thanks Robert May hazard.ky u doing 👌
230,Nothing like giving your enemy the whole game plan and still expecting to succeed.
231,Now think of it.  We have the Gettysburg address and now this.  Every other speech will alternately be something in between
232,I think USA now has enough experience in withdrawal plans
233,This man has no shame.
234,"USA Failed for second time in Asia, this is the question American sympathizers assert and Taliban won the freedom war."
235,The best part was at the end when he didn't take any questions.
236,it doesn't sound like you ended a war when you left billions of dollars of equipment for them to use against us.
237,This is what you get when the USA has elections in the twilight zone
238,Im just glad the election is over and now we can all go back to blaming the president for all our problems
239,“Death to tyrants “
240,You made a decision and didn’t tell anyone including our allies. It was a colossal failure to execute the withdrawal so it’s a sham to call it successful
241,“Extraordinary success”
242,When will it be enough my fellow Americans? When will we stand up and say no more
243,Is this the “make it better than it is” speech the other guy was suppose to give? Asking for a fellow citizen.
244,"Biden: President Obama and me ended the war, no more questions. 

Handlers: 😳 we quit he goes of script to many times. "
245,Massive respect for making the world an even more dangerous place in only 2 weeks.
246,"This man doesn't know how talk for himself, this is insane that we have an actual puppet as a president lol"
247,More or less the same speech he had a week ago.
248,"$9.4 billion that belongs to Afghanistan was frozen by the U.S. and the IMF.
Many of the government workers were not paid for many months.
Afghanistan is a poor country. It needs the funds to buy food, medicine and meet other basic needs."
249,Now the question remains when are we going to get out of Iraq for good?
250,Nothing but negative comments haha I love it! Cause we know…Trump won
251,I don't support any side we just need someone younger trust worthy respectful and more but sadly there aren't many like that
252,Giving money and power to government is like giving whiskey and car keys to teenage boys.
253,"you made the decision to end this war, but blame trump for the withdrawal? 🤨"
254,"Quitting is the new winning culture nowadays....I saw it used in the Tokyo Olympics by the US athletes,  but I never thought I would see it used in Afghanistan."
255,Joe Biden : I've been instructed to act tough for this speech
256,"I think you meant ""Biden reads a teleprompter"""
257,"Thank you, Joe Biden! You are the only person I ever voted for who actually did what he said he would do! Bravo!!"
258,"Almost every sentence contradicted by previous statements and video footage. Doesn't he have staff that proofs his speeches? Insult our intelligence then; blame, blame, blame!"
259,"I've come to realize now, that 'anyone' can be President of the United States."
260,He really thinks he handed this well.
261,In A War No One Wins
262,"so… if ending wars is a thing, when is the assistance in South Korea going to end?"
263,We need Trump back
264,"He's trying to sound so tough. It's laughable.  What a damn joke. He didn't end the war, he surrendered."
265,This was a success. So giving our enemy billions worth of equipment is a success?
266,"You lost the war, ran like cowards in the end."
267,The greatest comedy of all time. Lookin forward to the guy who comes out with the bat at the end. 🥲🤣😂🇦🇺Swear it’s a Punch n Joe B pantomime. Love America but you guys are screwed with this clown n kamilla de harass in charge😎🇦🇺👊🏻🤍❤️☘️Sack them as quick as ya can. Love Australia and Ireland 😂☘️
268,Thank you for being an honest man.
269,Gotta give it to Biden he didn’t stumble in his words and also didn’t give media answers because we all know what media can alter someone’s sayings
270,This guy can't even get more upvotes than downvotes on a network leftist news station.  How the heck did he win the country?
271,Seeing the taliban flying blackhawks and flying thier flag from it and mocking the running scared Americans 😂😂😂
272,I thought the original conflict was cause by Sadam Hosaine in Iraq? That’s why our troops hunted Sadam down like a dog in a hole and put him on trial with the UN? Does anyone but me remember this part of the last 20 years?
273,Finger point to you!.
274,"""We gotta learn from our mistakes"" in other words, ""let's blame Trump for all of my failures."""
275,"<Slow clap> Joe takes his victory lap. Oh wait, he's just lost and looking for the door they told him to walk through."
276,i hope yall biden voters are happy 👍🏻
277,This is what you guys voted for
278,Wow. What a proud lying spirit he has.
279,"If you voted for this, congratulations, you played yourself."
280,HE DID NOT END IT HE HAS STARTED IT AGAIN!
281,But you left the person who saved you and Sen. Kerry...We know you don't remember
282,"Chinese people really like civil war, in addition to having a lot of people, there is no advantage, please support Taiwanese."
283,Blood on the hands !
284,Biden: I came thru and I shall not return.
285,"If he knew it was going to be chaotic and complex, why did he go on vacation?"
286,"When comments start with ""it only happens in Nigeria""...it sounds like a sound bite"
287,"No one disagrees with the decision to pull out of Afghanistan. It is how it was done, Mr. President, that we are disgusted over. This is not a victory but a precursor to something much worse."
288,He drips insincerity.
289,"In 2021 ""retreats"" are now called ""withdraws"""
290,Going against everything  our country has ever stood for.
291,Let me pat myself on the back for such a successful mission while simultaneously blaming everyone else for all the failures.
292,"Your “tally’s” are some what correct, however, YOU FAILED TO MENTION THE 85 BILLION IN TAX PAYER DOLLARS you handed the enemy in equipment and cash…"
293,The “Biden 13 .”
294,"He made the tough choice and hopefully right choice to get us out of Afghanistan.  That country is known as the ""graveyard of nations"", this statement should give you goosebumps.  Taliban were able to take over Afghanistan without a single shot that says alot about US intelligence and who Afghan people really support.  I pray that there is peace in Afghanistan and Taliban can keep their word.  They will need lots of support to fight the ISIS threat and rebuild Afghanistan.  After 20 years of war we should learn that war will not solve this problem but will only ignite and the fire will spread in other parts of the world.  Behind this war we singled and cornered the entire Muslim nation and put a target on a billion people and cornered and declared them as terrorists.  Hundreds and Thousands of innocent American and Muslims suffered because of this war."
295,"'' an extraordinary success ''

I'd hate to see what he calls a complete disaster."
296,Do you think we can afford to get Joe some wooden blocks or a coloring book for his speeches... not buying rifling through pages or this note card deal.
297,"You know we got a lot of ununderstandablemumbling in Afghanistan and I wanna thank the Taliban for securing the airport and err, here is the deal, you know, the thing"
298,"9:25 well joe, you didn’t do great at that"
299,"Does anyone believe for a second that 5,000 people declined his offer to help them leave??"
300,"Why did he ""warn"" them 19 times if he thought the Afghan government was ""trained"" and ""equipped""."
301,When you brag about failing.
302,Sleepy Joe ratio'd yet again😂🤣😂
303,I want Trump back!
304,"THE WAR IS DEAD, LONG LIVE THE WAR!"
305,"You told the military to flee in the middle of the night, without telling our allies or warn 100's of thousands civilians and had to go back with triple the number of troops, after telling the Taliban that you declined their offer to control Kabul and the Taliban can manage the entrances into the airport. Then you get 122000 people and only 5400 citizens and call that a success. You give the Taliban a list of names, pictures and biometrics  of everyone and  leave defenseless possibly 1000's of American citizens and afghans that have worked with the Americans."
306,"Taliban: violates fundamental human rights
Joe Biden: *Sends angry letter"
307,"Obama  inspires, Trump antagonizes, Biden Hypnotizes."
308,"""no nation has ever done anything like it in history""
 what about Dunkirk"
309,What does he mean “not for professional gain”? That’s such an odd random thing to say OR is it where his administrations head is at? Was it a Freudian slip by the speech writers? 3:42
310,When he talks he makes me feel like my dyslexia transfers to my ability to listen instead of reading.
311,Why are you yelling at us Mr President?
312,"This is what you have to do when you can't say, ""Meh, they're just a bunch of Afghans anyway."""
313,"This hollow shell of a man “IS MY HERO!” 

Is it bravery? or bravely Joe? You opened up with a word salad! Bin Laden? You were against the mission to get Bin Laden!"
314,"I must admit, I'm a little confused as to why there is so much hatred here. That briefing seemed like a measured, justified explanation for what he did. If you recall Trump made a deal with the Taliban behind the back of the Afghan government. He inherited a disaster and made the best of what he was given. Should he have condemned thousands more citizens to the trauma of that conflict? What would be the objective? "
315,"I’m the type of boss that won’t obsess with the “how”, as long as I get good results.  And boy am I not liking these results"
316,Everyone else caused the problem but he has not fired any of those folks who advised him before he made a very bad decision about the evacuations. Pittiful.
317,Do you want to hear hear a good joke!  Ready?  Biden is a genius!
318,If you wasn't too busy signing executive orders you could have had this done properly on May 1st
319,Not Biden walking off dramatically at the end 4 me
320,"Remember, Remember this time when the POTUS turned his back on America."
321,Be forgot to add the part where his homies in CHYYYYINA have a foot hold and companies digging out minerals and materials to make lithium in Afghanistan. Afghanistan is the Saudi Arabia of lithium. Remember their green new deal agenda. Follow the money. Pockets are deep
322,Peace time...
